Giocatore;Ruolo;Squadra;Età;Minuti Giocati;Cartellini Gialli;Cartellini Rossi;Cartellini Gialli/Rossi;Falli;Fallo Subito;Fuorigioco;Cross;Intercettazioni;Tackle Vinti;Rigori Guadagnati;Rigori Concessi;Autoreti;Recupero Palla;Aerei Vinti;Aerei Persi;Percentuale Aerei Vinti;Link Giocatore
James Abankwah;Dif.Cen;Udinese;21;1.0;1;0;0;4;3;0;0;1;2;0;0;0;7;2;2;50.0;https://fbref.com/it/calciatori/4b7a9fcc/James-Abankwah
Saud Abdulhamid;Dif;Roma;25;2.3;0;0;0;2;5;0;7;2;2;0;1;0;3;0;1;0.0;https://fbref.com/it/calciatori/caa254e4/Saud-Abdulhamid
Oliver Abildgaard;Cen;Como;28;0.1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;https://fbref.com/it/calciatori/8f5cdf66/Oliver-Abildgaard
Tammy Abraham;Att;Roma;27;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;100.0;https://fbref.com/it/calciatori/f586779e/Tammy-Abraham
Tammy Abraham;Att;Milan;27;12.3;1;0;0;21;8;6;3;2;10;1;0;0;11;32;33;49.2;https://fbref.com/it/calciatori/f586779e/Tammy-Abraham
Federico Accornero;Cen;Genoa;21;0.1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0.0;https://fbref.com/it/calciatori/83763653/Federico-Accornero
Francesco Acerbi;Dif;Inter;37;15.4;0;0;0;10;16;1;7;24;16;0;0;0;46;46;24;65.7;https://fbref.com/it/calciatori/b96b595c/Francesco-Acerbi
Zach Adams;Att;Torino;28;23.0;2;0;0;22;30;16;9;2;3;0;0;0;42;28;52;35.0;https://fbref.com/it/calciatori/f2bf1b0f/Zach-Adams
Yacine Adli;Cen;Fiorentina;24;12.5;3;1;1;9;18;0;56;6;18;0;0;0;71;5;15;25.0;https://fbref.com/it/calciatori/26777636/Yacine-Adli
Vasilije Adžić;Cen.Att;Juventus;18;0.3;0;0;0;1;0;0;0;0;2;0;0;0;2;2;2;50.0;https://fbref.com/it/calciatori/8b0f9fb8/Vasilije-Adzic
Michel Aebischer;Cen;Bologna;28;5.7;1;0;0;13;11;0;9;5;8;0;0;0;25;4;7;36.4;https://fbref.com/it/calciatori/f9c927de/Michel-Aebischer
Honest Ahanor;Dif;Genoa;17;0.9;0;0;0;0;4;0;1;0;1;0;0;0;5;0;1;0.0;https://fbref.com/it/calciatori/42ff58c3/Honest-Ahanor
Junior Ajayi;Att;Hellas Verona;20;0.1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;;https://fbref.com/it/calciatori/cab600a8/Junior-Ajayi
Jean-Daniel Akpa-Akpro;Cen.Dif;Monza;32;4.5;2;0;0;13;6;0;4;4;9;0;0;0;31;7;11;38.9;https://fbref.com/it/calciatori/fdf4b948/Jean-Daniel-Akpa-Akpro
David Akpan Ankeye;Att.Cen;Genoa;23;0.5;0;0;0;3;1;0;0;0;0;0;0;0;0;0;1;0.0;https://fbref.com/it/calciatori/8c4b95af/David-Akpan-Ankeye
Faride Alidou;Att.Cen;Hellas Verona;23;0.8;0;0;0;1;0;0;3;1;0;0;0;0;0;1;0;100.0;https://fbref.com/it/calciatori/00f518d8/Faride-Alidou
Dele Alli;Cen;Como;29;0.1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;;https://fbref.com/it/calciatori/cea4ee8f/Dele-Alli
Pontus Almqvist;Att.Cen;Parma;25;12.3;5;0;0;15;15;2;11;19;12;1;0;0;40;9;15;37.5;https://fbref.com/it/calciatori/0917188a/Pontus-Almqvist
Giorgio Altare;Dif;Venezia;26;8.4;2;0;0;10;2;0;7;17;12;0;0;1;27;19;17;52.8;https://fbref.com/it/calciatori/aa5322d5/Giorgio-Altare
Sofyan Amrabat;Cen;Fiorentina;28;2.0;0;0;0;4;1;0;3;0;2;0;0;0;7;1;1;50.0;https://fbref.com/it/calciatori/5a2cb25d/Sofyan-Amrabat
Angeliño;Dif;Roma;28;28.3;1;0;0;26;23;4;87;25;21;1;0;0;85;27;26;50.9;https://fbref.com/it/calciatori/30941e96/Angelino
Lorenzo Anghelè;Att;Juventus;20;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.0;https://fbref.com/it/calciatori/b2f3d550/Lorenzo-Anghele
Faustino Anjorin;Cen;Empoli;23;10.9;2;0;0;20;16;0;13;11;12;0;1;0;58;9;10;47.4;https://fbref.com/it/calciatori/b105919e/Faustino-Anjorin
Marko Arnautović;Att;Inter;35;3.4;1;0;0;4;3;5;4;1;6;0;0;0;7;7;4;63.6;https://fbref.com/it/calciatori/00459419/Marko-Arnautovic
Kristjan Asllani;Cen;Inter;23;7.9;4;0;0;8;14;0;31;7;2;0;0;0;40;3;3;50.0;https://fbref.com/it/calciatori/0fdcef0e/Kristjan-Asllani
Arthur Atta;Cen.Att;Udinese;22;9.3;3;0;0;12;11;0;18;4;11;0;0;0;38;11;14;44.0;https://fbref.com/it/calciatori/d3ddf88b/Arthur-Atta
Emil Audero;Por;Como;28;8.0;0;0;0;0;1;0;0;0;0;0;0;0;12;2;1;66.7;https://fbref.com/it/calciatori/649b01d8/Emil-Audero
Tommaso Augello;Dif.Att;Cagliari;30;23.5;3;0;0;12;9;2;174;15;25;0;0;0;109;39;20;66.1;https://fbref.com/it/calciatori/3cd3b384/Tommaso-Augello
Carlos Augusto;Dif.Att;Inter;26;13.0;0;0;0;7;8;3;18;6;10;0;0;0;41;42;24;63.6;https://fbref.com/it/calciatori/8d3cd59d/Carlos-Augusto
Yann Aurel Bisseck;Dif;Inter;24;13.5;3;0;0;11;8;1;6;13;10;0;1;0;44;36;10;78.3;https://fbref.com/it/calciatori/3963c25b/Yann-Aurel-Bisseck
Paulo Azzi;Dif;Cagliari;30;4.7;2;0;0;5;3;0;22;5;9;0;0;0;24;6;5;54.5;https://fbref.com/it/calciatori/967ac202/Paulo-Azzi
Oussama El Azzouzi;Cen;Bologna;23;0.1;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;;https://fbref.com/it/calciatori/85f476cc/Oussama-El-Azzouzi
Jacopo Bacci;Cen;Empoli;19;0.3;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;100.0;https://fbref.com/it/calciatori/9ce30308/Jacopo-Bacci
Milan Badelj;Cen;Genoa;36;14.9;2;0;0;17;17;0;5;18;12;0;0;0;67;10;5;66.7;https://fbref.com/it/calciatori/e8c930bb/Milan-Badelj
Mitchel Bakker;Cen;Atalanta;24;0.2;0;0;0;1;0;0;1;0;0;0;0;0;2;1;1;50.0;https://fbref.com/it/calciatori/a8567629/Mitchel-Bakker
Tommaso Baldanzi;Cen.Att;Roma;22;7.7;2;0;0;5;14;0;6;5;4;0;0;0;44;1;3;25.0;https://fbref.com/it/calciatori/102e2599/Tommaso-Baldanzi
Keita Baldé Diao;Att;Monza;30;4.9;1;0;0;7;17;1;5;1;1;0;0;0;7;3;10;23.1;https://fbref.com/it/calciatori/509a4ccb/Keita-Balde-Diao
Botond Balogh;Dif;Parma;22;20.1;4;0;0;15;6;0;1;22;9;0;2;0;57;31;28;52.5;https://fbref.com/it/calciatori/348bafd4/Botond-Balogh
Mario Balotelli;Att.Cen;Genoa;34;0.7;2;0;0;2;2;0;3;0;0;0;0;0;1;2;2;50.0;https://fbref.com/it/calciatori/8ff07990/Mario-Balotelli
Lameck Banda;Att.Cen;Lecce;24;6.1;1;0;0;9;18;2;22;2;5;0;0;0;24;2;13;13.3;https://fbref.com/it/calciatori/8a6de8c7/Lameck-Banda
Daniel Bandeira;Cen;Hellas Verona;25;4.5;1;0;0;4;4;0;8;6;0;0;0;0;36;7;3;70.0;https://fbref.com/it/calciatori/56fca564/Daniel-Bandeira
Mattia Bani;Dif;Genoa;31;14.8;3;0;0;5;8;1;4;19;9;0;0;0;50;21;21;50.0;https://fbref.com/it/calciatori/0821331c/Mattia-Bani
Antonín Barák;Cen;Fiorentina;30;0.6;0;0;0;0;0;0;1;0;0;0;0;0;2;0;1;0.0;https://fbref.com/it/calciatori/01efac19/Antonin-Barak
Federico Barba;Dif;Como;31;4.8;0;0;0;3;1;0;3;4;2;0;0;0;19;5;8;38.5;https://fbref.com/it/calciatori/c010b898/Federico-Barba
Nicolò Barella;Cen;Inter;28;23.2;4;0;0;21;28;4;56;10;26;0;0;0;141;21;23;47.7;https://fbref.com/it/calciatori/6928979a/Nicolo-Barella
Davide Bartesaghi;Dif.Cen;Milan;19;0.6;0;1;0;1;0;1;6;2;1;0;0;0;1;1;0;100.0;https://fbref.com/it/calciatori/7e0b6c50/Davide-Bartesaghi
Federico Baschirotto;Dif;Lecce;28;31.0;3;0;0;27;6;0;3;20;21;0;3;0;80;79;47;62.7;https://fbref.com/it/calciatori/5a08ee41/Federico-Baschirotto
Daniele Baselli;Cen;Como;33;0.2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0.0;https://fbref.com/it/calciatori/ea06dd97/Daniele-Baselli
Alessandro Bastoni;Dif;Inter;25;23.9;5;1;1;38;36;1;61;21;18;0;0;0;83;38;24;61.3;https://fbref.com/it/calciatori/75b86fb3/Alessandro-Bastoni
Reda Belahyane;Cen;Hellas Verona;20;18.4;6;1;1;31;9;0;3;10;26;0;0;0;109;5;15;25.0;https://fbref.com/it/calciatori/705a1642/Reda-Belahyane
Reda Belahyane;Cen;Lazio;20;2.0;0;0;0;3;1;0;0;1;5;0;0;0;13;2;0;100.0;https://fbref.com/it/calciatori/705a1642/Reda-Belahyane
Raoul Bellanova;Dif;Torino;24;1.0;0;0;0;1;1;0;5;0;0;0;0;0;4;1;0;100.0;https://fbref.com/it/calciatori/e3756e72/Raoul-Bellanova
Raoul Bellanova;Dif;Atalanta;24;21.2;3;0;0;14;30;0;129;16;13;0;0;0;92;21;19;52.5;https://fbref.com/it/calciatori/e3756e72/Raoul-Bellanova
Andrea Belotti;Att;Como;31;6.6;1;0;0;9;19;5;5;1;5;0;0;0;17;18;26;40.9;https://fbref.com/it/calciatori/d705ba44/Andrea-Belotti
Lucas Beltrán;Cen.Att;Fiorentina;24;17.7;3;0;0;21;35;3;7;4;10;1;0;0;52;20;47;29.9;https://fbref.com/it/calciatori/482d2bc3/Lucas-Beltran
Adrian Benedyczak;Att.Cen;Parma;24;2.2;0;0;0;3;5;1;1;0;0;0;0;0;3;9;11;45.0;https://fbref.com/it/calciatori/3f448184/Adrian-Benedyczak
Ismaël Bennacer;Cen;Milan;27;3.3;2;0;0;5;5;0;6;3;4;0;0;0;17;3;1;75.0;https://fbref.com/it/calciatori/db092d3b/Ismael-Bennacer
Medon Berisha;Cen;Lecce;21;6.2;4;0;0;12;8;0;19;9;6;0;0;0;27;5;5;50.0;https://fbref.com/it/calciatori/9d376bef/Medon-Berisha
